* Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [24/Dec/2021 17:07:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/40ffd85f-23d6-4383-aa31-e214afe6d3ea.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/02ffcaaf-3906-4a78-aaed-98a7745ea143.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/d698e6d3-7724-4b4d-8984-d1fa0a1401cf.jpg HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/549f72b4-5d51-45cf-b485-580f19c65a97.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/abc49ed9-5081-4f3a-ab48-72711b505b16.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/2bc1240b-3484-433f-8aff-15502d60b62b.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/edf2e65e-666c-4197-a81c-ad477f75a825.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/b14a912b-3915-4a20-b213-e8f1746fa2c3.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/e098fc08-0f63-4ada-b151-d3e3bb5fef90.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/1e4ca8b5-bdab-4d73-ab23-460e65397b99.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/69b04047-3ff2-40c8-8ca7-c5366cf215eb.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /static/images/e3f8945c-8332-41f6-b5cd-e949a70e1a0c.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:04] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2021 17:07:20] "GET /24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:20] "GET /static/images/2db2e002-d7b7-48f2-bd11-5b633c34eb75.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /index HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/40ffd85f-23d6-4383-aa31-e214afe6d3ea.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/e098fc08-0f63-4ada-b151-d3e3bb5fef90.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/b14a912b-3915-4a20-b213-e8f1746fa2c3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/1e4ca8b5-bdab-4d73-ab23-460e65397b99.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/69b04047-3ff2-40c8-8ca7-c5366cf215eb.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/e3f8945c-8332-41f6-b5cd-e949a70e1a0c.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/d698e6d3-7724-4b4d-8984-d1fa0a1401cf.jpg HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/02ffcaaf-3906-4a78-aaed-98a7745ea143.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/549f72b4-5d51-45cf-b485-580f19c65a97.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/abc49ed9-5081-4f3a-ab48-72711b505b16.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/2bc1240b-3484-433f-8aff-15502d60b62b.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:26] "GET /static/images/edf2e65e-666c-4197-a81c-ad477f75a825.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:27] "GET /23 HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:27] "GET /static/images/ec58750d-fdd7-4eac-b1ec-25962c4d8e34.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /index HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/40ffd85f-23d6-4383-aa31-e214afe6d3ea.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/e098fc08-0f63-4ada-b151-d3e3bb5fef90.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/b14a912b-3915-4a20-b213-e8f1746fa2c3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/1e4ca8b5-bdab-4d73-ab23-460e65397b99.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/e3f8945c-8332-41f6-b5cd-e949a70e1a0c.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/69b04047-3ff2-40c8-8ca7-c5366cf215eb.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/d698e6d3-7724-4b4d-8984-d1fa0a1401cf.jpg HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/02ffcaaf-3906-4a78-aaed-98a7745ea143.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/549f72b4-5d51-45cf-b485-580f19c65a97.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/abc49ed9-5081-4f3a-ab48-72711b505b16.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/2bc1240b-3484-433f-8aff-15502d60b62b.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:33] "GET /static/images/edf2e65e-666c-4197-a81c-ad477f75a825.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:42] "GET /5 HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:42] "GET /static/images/12547566-e166-454e-82c4-83b810967b0f.jpg HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /index HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /static/images/40ffd85f-23d6-4383-aa31-e214afe6d3ea.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /static/images/e098fc08-0f63-4ada-b151-d3e3bb5fef90.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /static/images/b14a912b-3915-4a20-b213-e8f1746fa2c3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /static/images/1e4ca8b5-bdab-4d73-ab23-460e65397b99.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /static/images/e3f8945c-8332-41f6-b5cd-e949a70e1a0c.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /static/images/69b04047-3ff2-40c8-8ca7-c5366cf215eb.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /static/images/d698e6d3-7724-4b4d-8984-d1fa0a1401cf.jpg HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2021 17:07:45] "GET /static/images/02ffcaaf-3906-4a78-aaed-98a7745ea143.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:08:14] "GET /index HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2021 17:08:14] "GET /static/images/40ffd85f-23d6-4383-aa31-e214afe6d3ea.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:08:14] "GET /static/images/b14a912b-3915-4a20-b213-e8f1746fa2c3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:08:14] "GET /static/images/e098fc08-0f63-4ada-b151-d3e3bb5fef90.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:08:14] "GET /static/images/1e4ca8b5-bdab-4d73-ab23-460e65397b99.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:08:14] "GET /static/images/e3f8945c-8332-41f6-b5cd-e949a70e1a0c.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2021 17:08:14] "GET /static/images/69b04047-3ff2-40c8-8ca7-c5366cf215eb.jpg HTTP/1.1" 304 -
